matchnum,team,auton start pos,auton station level,auton upper,auton middle,auton low,teleop upper,teleop middle,teleop low,placeable game pieces_Cones,placeable game pieces_Cubes,endgame station,hp comms,defense,extra_Drops Pieces,extra_Brick Bot,extra_Maneuverable,extra_Lost Comms,extra_Tipped over,extra_Picks up from ground,comments,robot_stop_time,Team EPA
67,9255,R,Left community,1,0,0,2,0,0,true,,Engaged (level),neutral/no human,Can't defend at all,,,,,,,"BLUE TEAM
grabs from double station
missed dropping 1 cone
pushed around easily",,
67,7224,C,Engaged (level),1,0,0,2,0,0,true,,Engaged (level),neutral/no human,No Defense shown,true,,,,,,Red alliance. Arm broken during match. 2 bot balance.,,
68,7762,L,Left community,0,0,0,,1,2,true,,Engaged (level),neutral/no human,No Defense shown,true,,,,,,"Got stuck on charging station 
Blue alliance ",40,
68,4779,R,Left community,1,0,0,3,0,0,true,,Docked,good,No Defense shown,,,,,,true,"2 piece auton failed. Got hit and stopped for last 40 seconds of match. Can pick up from ground, but not good at it.",40,
69,4810,L,Left community,0,1,0,0,0,0,,true,Parked (in community),neutral/no human,Moderately slows down robots,,,,,,,Red Alliance,,
69,6085,R,Left community,0,1,0,0,2,0,true,,Engaged (level),neutral/no human,Can't defend at all,,,,,,,"the robot is capable, but the drivers drive like they're scared of getting hurt.
Blue",,
69,9252,C,Left community,0,0,0,0,0,4,,,Engaged (level),good,No Defense shown,,true,,,,,"Red. Attempted to triple balance, ended balancing alone. Good at rolling in cubes on floor, struggled to get anything from human player station.",,
70,7813,R,,,,1,,,,,,,neutral/no human,Moderately slows down robots,,,,,,,Better defense this time but still a little bit scrappy. Got a penalty . Didn’t help out team in terms of scoring. Had trouble defending against skilled robots like 3539.,,
72,8115,C,Engaged (level),1,0,0,3,0,2,true,,Engaged (level),good,No Defense shown,,,true,,,,"BLUE TEAM
auton: places cube, balances
goes to double station
slightly wobbly when arm is extended",,
75,5926,C,Engaged (level),1,0,0,1,0,3,true,,Engaged (level),good,No Defense shown,,,,,,true,"BLUE TEAM
auton: places a cone, balances
",,
76,9255,R,Left community,0,0,1,3,0,1,true,,Parked (in community),good,Can't defend at all,,,,,,,"BLUE TEAM
grabs from double station
auton: place a cube, leave community
extremely wobbly, nearly tipped multiple times",,
78,8115,L,Left community,0,0,1,1,0,0,true,,No station,neutral/no human,No Defense shown,,,,,,,"RED TEAM
LOST A WHEEL.",60,
6969,1189,Center,Engaged (level),,,,,,,true,,Parked (in community),neutral/no human,Pushes a little bit,,,true,,,,,,47.01
